_id,Country,Project Name,Type,Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country_1,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,the_geom
206,Vietnam,Dak Sin 1,Hydro,Operational,28,2015,Vietnam,VRG Dak Nong JSC. - Vietnam Rubber Group,,,,,Vietnam,Đắk Nông,Đắk R'Lấp,Dong Nai,11.8186,107.459,,105000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-sin-1-Hydropower,,0101000020E61000004C37894160DD5A40DE02098A1FA32740
207,Vietnam,Dak Srong,Hydro,Operational,18,2010,Vietnam,Dak Srong JSC.,,,,,Vietnam,Gia Lai,Kông Chro,Song Da Rang-Song Ba,13.7659,108.524,,68000,Open Development Vietnam,https://vietnam.opendevelopmentmekong.net/dataset/?id=danh-sach-cac-th-y-di-n-t-i-vi-t-nam-tinh-d-n-thang-06-2016&search_query=P3BhZ2U9Mg==,,0101000020E6100000E10B93A982215B404703780B24882B40
208,Vietnam,Dak Srong,Hydro,Operational,18,2010,,,,,,,,,,,13.7659,108.524,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E610000028D2FD9C82215B40D82B2CB81F882B40
209,Vietnam,Dak Srong 2,Hydro,Operational,24,2010,Vietnam,Hoang Anh Gia Lai JSC.,,,,,Vietnam,Gia Lai,Kông Chro,Song Da Rang-Song Ba,13.6786,108.565,,85800,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-2-Hydropower,,0101000020E6100000AA60545227245B4096218E75715B2B40
210,Vietnam,Dak Srong 2A,Hydro,Operational,18,2011,,,,,,,,,,,13.6786,108.565,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000004B3E761728245B4033C4B12E6E5B2B40
211,Vietnam,Dak Srong 3A,Hydro,Operational,10,2014,Vietnam,Hoang Anh Gia Lai JSC.,,,,,Vietnam,Gia Lai,Krông Pa,Song Da Rang-Song Ba,13.3473,108.532,,37000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-3a-Hydropower,,0101000020E61000004BEA043411225B4036CD3B4ED1B12A40
212,Vietnam,Dak Srong 3B,Hydro,Operational,20,2012,Vietnam,Hoang Anh Gia Lai JSC.,,,,,Vietnam,Gia Lai,Krông Pa,Song Da Rang-Song Ba,13.3381,108.559,,75000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-3b-Hydropower,,0101000020E61000009D11A5BDC1235B40228E75711BAD2A40
213,Vietnam,Dak Srong 3B,Hydro,Operational,20,2012,,,,,,,,,,,13.3381,108.559,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000D829560DC2235B40161406651AAD2A40
214,Vietnam,Dak Trua 1&2,Hydro,Operational,8.8,2020,,,,,,,,,,,14.7147,108.004,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000008F37F92D3A005B40378C82E0F16D2D40
215,Vietnam,Dam'Bri,Hydro,Operational,75,2014,Vietnam,Southern Hydropower JSC.,,,,,Vietnam,Lâm Đồng,Bảo Lâm,Dong Nai,11.5827,107.673,,338000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/dataset/da-mbri-Hydropower,,0101000020E610000089D2DEE00BEB5A4027C286A7572A2740
216,Vietnam,Dambol,Hydro,Operational,10.2,2011,,,,,,,,,,,11.6934,107.659,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000598B4F0130EA5A404D83A27900632740
217,Vietnam,Dan Sach 1,Hydro,Operational,6,2015,,,,,,,,,,,11.2669,108,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E610000010035DFB02005B40FF959526A5882640
218,Vietnam,Dan Sach 2&3,Hydro,Operational,5.5,2015,,,,,,,,,,,11.2426,108.01,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000008B355CE49E005B40AC02B5183C7C2640
219,Vietnam,Dinh Binh,Hydro,Operational,9.9,2008,Vietnam,Dinh Binh Hydropower JSC,,,,,Vietnam,Bình Định,Vĩnh Thạnh,Kon,14.1565,108.773,,45000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dinh-binh-Hydropower,,0101000020E6100000A167B3EA73315B40E3A59BC420502C40
220,Vietnam,Doc Cay,Hydro,Operational,15,2013,,,,,,,,,,,19.9561,105.277,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000007A3881E9B4515A408A58C4B0C3F43340
221,Vietnam,Dong Nai 2,Hydro,Operational,70,2015,Vietnam,Trung Nam Group (Vietnam),,,,,Vietnam,Lâm Đồng,Lâm Hà,Dong Nai,11.7129,108.058,,,"Vietnam Electricity, UNFCC","https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
 https://cdm.unfccc.int/Projects/DB/ERM-CVS1350663746.22/view; https://data.opendevelopmentmekong.net/vi/library_record/dong-nai-2-Hydropower",,0101000020E61000000F9C33A2B4035B4005A3923A016D2740
222,Vietnam,Dong Nai 3,Hydro,Operational,180,2011,Vietnam,EVN (Vietnam),,,,,Vietnam,Lâm Đồng,Bảo Lâm,Dong Nai,11.8853,107.728,,,Vietnam Electricity,"https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
 https://www.powerinfotoday.com/asia/dong-nai-Hydropower-project-vietnam/
 https://en.evn.com.vn/d6/news/Dong-Nai-Hydropower-Company-Successful-in-developing-smart-control-",,0101000020E6100000ED0DBE3099EE5A40139B8F6B43C52740
223,Vietnam,Dong Nai 4,Hydro,Operational,340,2013,Vietnam,EVN (Vietnam),Japan,JICA (Japan),,CO2 Asia,Vietnam,Lâm Đồng,Bảo Lâm,Dong Nai,11.885,107.729,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,0101000020E610000066F7E461A1EE5A4085EB51B81EC52740
224,Vietnam,Dong Nai 5,Hydro,Operational,140,2015,Vietnam,Vinacomin (Vietnam),,,Vietnam,Vinacomin’s Power Holding Corporation (Vietnam),Vietnam,Đắk Nông,Đắk R'Lấp,Dong Nai,11.7942,107.552,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,0101000020E61000007A36AB3E57E35A40BBED42739D962740
225,Vietnam,Dong Nai 5,Hydro,Operational,150,2015,Vietnam,Vietnam National Coal-Mineral Industries Group,,,,,Vietnam,Đắk Nông,Đắk R'Lấp,Dong Nai,11.7942,107.552,,,Vietnam Electricity,,,0101000020E61000007A36AB3E57E35A40BBED42739D962740
226,Vietnam,Dong Sung,Hydro,Operational,20,2019,,,,,,,,,,,21.8212,104.658,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000BA2C26361F2A5A40C59272F739D23540
227,Vietnam,Dong Van,Hydro,Operational,28,,,,,,,,,,,,19.8856,105.117,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E610000046D1031F83475A40FD169D2CB5E23340
228,Vietnam,Dray H'Linh 1,Hydro,Operational,12,1990,Vietnam,,,,,,Vietnam,Đắk Lắk,Buôn Ma Thuột,Srepok,12.6712,107.908,,,Open Development Vietnam,https://vietnam.opendevelopmentmekong.net/dataset/?id=danh-sach-cac-th-y-di-n-t-i-vi-t-nam-tinh-d-n-thang-06-2016&search_query=P3BhZ2U9Mg==,,0101000020E6100000AE47E17A14FA5A408126C286A7572940
229,Vietnam,Dray H'Linh 2,Hydro,Operational,16,2007,Vietnam,Dien Luc 3 Hydro Power JSC.,,,,,Vietnam,Đắk Nông,Cư Jút,Srepok,12.6757,107.904,,80000,Open Development Vietnam,https://cpc.vn/vi-vn/Tin-tuc-su-kien/Tin-tuc-chi-tiet/articleId/21; http://www.thanglong-bca.vn/tin-tuc-su-kien-651/TTC-Duc-Hue-2-Solar-Power/,https://data.opendevelopmentmekong.net/vi/library_record/dray-hlinh-2-Hydropower,0101000020E610000012143FC6DCF95A407DD0B359F5592940
230,Vietnam,Duc Thanh,Hydro,Operational,30,2018,,,,,,,,,,,11.6713,107.272,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000D384ED2763D15A4009DFFB1BB4572740
231,Vietnam,Ea Drang 2,Hydro,Operational,6.4,2011,,,,,,,,,,,13.2401,108.06,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E610000001DD9733DB035B4080EECB99ED7A2A40
232,Vietnam,Ea Krong Rou,Hydro,Operational,28,2007,Vietnam,Mien Trung Power Investment and Development JSC,,,,,Vietnam,Khánh Hòa,Ninh Hòa,Coastal Tributaries Phu Yen-Khanh Hoa,12.5992,108.94,,140000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/krong-rou-Hydropower,,0101000020E61000004703780B243C5B40C286A757CA322940
